["o1","LEFT"]
["o2","LEFT"]
["o3","LEFT"]
["o4","RIGHT"]
("o1","mode 1",1,"o1",1,"transmission",1.30759e-12)
(202, 3)
1.9540492499036850e+14 2.3603704387505835e-04 -8.8804370515460445e+00
1.9546769560552762e+14 2.2988573909162198e-04 -8.9286554817353299e+00
1.9553046622068675e+14 2.2404288588115490e-04 -8.9731915227678538e+00
1.9559323683584588e+14 2.1924060463746140e-04 -9.0129939446858049e+00
1.9565600745100503e+14 2.1526665264258506e-04 -9.0517406110448384e+00
1.9571877806616416e+14 2.1226407226756383e-04 -9.0877469074503736e+00
1.9578154868132328e+14 2.1037041356312391e-04 -9.1252774379332351e+00
1.9584431929648241e+14 2.0913225067794563e-04 -9.1633822614196170e+00
1.9590708991164153e+14 2.0888211714600427e-04 -9.2048626776829678e+00
1.9596986052680066e+14 2.0881411881253220e-04 -9.2500084428963145e+00
1.9603263114195978e+14 2.0927482687242431e-04 -9.2990508567278471e+00
1.9609540175711891e+14 2.0945405111650632e-04 -9.3536221015892309e+00
1.9615817237227806e+14 2.0949826654631632e-04 -9.4112705106728267e+00
1.9622094298743719e+14 2.0898162229184201e-04 -9.4746660981424000e+00
1.9628371360259631e+14 2.0762554924297837e-04 -9.5400108754246826e+00
1.9634648421775544e+14 2.0563651741037356e-04 -9.6094338689434622e+00
1.9640925483291456e+14 2.0232064838442330e-04 -9.6802602198390577e+00
1.9647202544807369e+14 1.9832972228435610e-04 -9.7520386960396586e+00
1.9653479606323281e+14 1.9298851661336000e-04 -9.8249769128723763e+00
1.9659756667839194e+14 1.8686212064990241e-04 -9.8956005154644604e+00
1.9666033729355109e+14 1.7978902338808156e-04 -9.9662906183283813e+00
1.9672310790871022e+14 1.7186459184423511e-04 -1.0032320283785710e+01
1.9678587852386934e+14 1.6354913394284987e-04 -1.0095975584743538e+01
1.9684864913902847e+14 1.5452411959380639e-04 -1.0153770288022168e+01
1.9691141975418759e+14 1.4560913957140952e-04 -1.0205852048693217e+01
1.9697419036934672e+14 1.3636063691091296e-04 -1.0251603419189413e+01
1.9703696098450584e+14 1.2756009303175310e-04 -1.0288078223033024e+01
1.9709973159966500e+14 1.1892891753781971e-04 -1.0318245028655635e+01
1.9716250221482412e+14 1.1088014826318707e-04 -1.0336495983835380e+01
1.9722527282998325e+14 1.0352299322143856e-04 -1.0348469947297016e+01
1.9728804344514238e+14 9.6710867509634983e-05 -1.0348034516346333e+01
1.9735081406030150e+14 9.0955328452373466e-05 -1.0340734481574378e+01
1.9741358467546062e+14 8.5661842516558979e-05 -1.0323276570161125e+01
1.9747635529061975e+14 8.1559433581589004e-05 -1.0297597082145597e+01
1.9753912590577888e+14 7.7995308220284013e-05 -1.0265508073847279e+01
1.9760189652093800e+14 7.5551024711180214e-05 -1.0224073687833302e+01
